from,from_network,to,to_network,relationship,type,crosses_network
Outback Therapeutic Expeditions,Aspen,R. Scott Jones,Asst. (south),primary therapist,people,True
Outback Therapeutic Expeditions,Aspen,Brad Matheson,Asst. (south),admissions director,people,True
Outback Therapeutic Expeditions,Aspen,Gordon L Day,Asst. (south),therapist,people,True
Outback Therapeutic Expeditions,Aspen,Jodi Escalante,Asst. (north),field director,people,True
Outback Therapeutic Expeditions,Aspen,Jason Scott Calder,Evolve,director,people,True
Outdoor Behavioral Healthcare Industry Council,Wilderness,Rob Cooley,Asst. (north),,unlabelled,True
Oxford Group,Unframed,Bill Wilson,Synanon,member,people,True
Passages to Recovery,Wilderness,W. Dean Belnap,Aspen,psychiatrist,people,True
Patrick Logan,Asst. (north),Hidden Lake Academy,Eckerd,Assistant Wilderness Director,people,True
Patrick Logan,Asst. (north),Second Nature Uintas,Aspiro,outreach director,people,True
Peninsula Village,Aspen,Adam Mclain,CERTS,clinical director,people,True
Penny Baker,Rite of Passage,Elk River Treatment Program,CERTS,director of clinical services,people,True
"Phillip ""Dr Phil"" McGraw",Evolve,SUWS of the Carolinas,Aspen,referrals,people,True
Phoenix Outdoor,Aspen,Jason McKeown,Asst. (south),therapist,people,True
Piney Ridge Center,Aspen,Acadia Healthcare,Embark,,unlabelled,True
Provo Canyon School,UHS,Rachel Steinberg,Vivant,clinician,people,True
Provo Canyon School,UHS,Kreg Gillman,Altior,CEO,people,True
Provo Canyon School,UHS,Denise Westman,FHW,Midwest regional director,people,True
Provo Canyon School,UHS,Robert Crist,FHW,cofounder/medical director,people,True
Provo Canyon School,UHS,Jeff Scott,Asst. (south),therapist,people,True
Provo Canyon School,UHS,Eugene Thorn,YSI,co-owner,corporate,True
Provo Canyon School,UHS,Barry Woodward,WWASPS,CEO,people,True
Provo Canyon School,UHS,WWASPS,WWASPS,precursor to WWASPS,other,True
Provo Canyon School,UHS,Ken Huey,HOPE Group,business director,people,True
Provo Canyon School,UHS,Jerry Spanos,Brown Schools/CEDU,therapist,people,True
Provo Canyon School Springville Campus,Rite of Passage,Provo Canyon School,UHS,,people,True
Psychiatric Solutions Inc,YSI,Hill Crest Behavioral Health,UHS,owner,corporate,True
Psychiatric Solutions Inc,YSI,Universal Health Services,UHS,acquired,corporate,True
R. Scott Jones,Asst. (south),Stillwater Academy,Aspiro,owner/director,corporate,True
ROOTs Transition,FHW,Stacey Rosenberg,Eckerd,program director,people,True
ROOTs Transition,FHW,Kami Black,WWASPS,founder,people,True
ROOTs Transition,FHW,Virginia Scott Prowse,Asst. (north),academic director,people,True
ROP Nevada,Asst. (north),"Rite of Passage, Inc",Rite of Passage,,unlabelled,True
Rachel Steinberg,Vivant,Spark Academy,WWASPS,,unlabelled,True
Ramsay Youth Services,YSI,Laurel Hills Behavioral Health,UHS,owner,corporate,True
Randy Oakley,HOPE Group,Aspiro Group,Aspiro,founder/CEO Aspiro Group,people,True
Randy Oakley,HOPE Group,Daniels Academy,Aspiro,board member,people,True
Rebekah Home for Girls,Roloff,Herman Fountain,WWASPS,staff,people,True
Red Mountain Colorado,FHW,Josh White,Altior,cofounder/ operating partner,people,True
Red Mountain Colorado,FHW,Maureen White,Altior,cofounder/ senior program advisor,people,True
Red Mountain Colorado,FHW,Kera Miller,Eckerd,executive director,people,True
Red Mountain Sedona,FHW,Maureen White,Altior,executive program director,people,True
Red Mountain Sedona,FHW,Josh White,Altior,executive director,people,True
Red Mountain Sedona,FHW,Oliver Cooperman,Eckerd,psychiartirst,other,True
Red Rock Canyon School,Eckerd,Brian Pace,Embark,executive director,people,True
RedCliff Ascent,Embark,Kendra Meiklejohn,Aspen,?,other,True
RedCliff Ascent,Embark,Mark Wardle,FHW,field director,people,True
Rick Jackson,Wilderness,Eva Carlston Academy,FHW,medical director,people,True
Rivendell of Arkansas,Eckerd,Ballard Sheppard,WWASPS,CEO,people,True
Rob Cooley,Asst. (north),Catherine Freer Wilderness Therapy,UHS,chair,other,True
Robert Crist,FHW,Silverado Boys Ranch,Eckerd,cofounder/medical director,people,True
Robert Crist,FHW,Discovery Academy,Embark,owner/vice-president,corporate,True
Rocky Mountain Academy,Brown Schools/CEDU,George Ullrich,Asst. (north),,unlabelled,True
Rocky Mountain Academy,Brown Schools/CEDU,Adam Rainer,FHW,survivor,people,True
Rocky Mountain Academy,Brown Schools/CEDU,Theresa Wardle,FHW,therapist,people,True
Rocky Mountain Academy,Brown Schools/CEDU,Doug Kim Brown,Eckerd,headmaster,people,True
Rocky Mountain Academy,Brown Schools/CEDU,Bruce Wilson,Eckerd,team lead,other,True
Rocky Mountain Academy,Brown Schools/CEDU,Adele Logan,Asst. (south),admin,people,True
Rocky Mountain Academy,Brown Schools/CEDU,Mike Strader,Unframed,survivor,people,True
Rocky Mountain Academy,Brown Schools/CEDU,Tim Brace,Aspen,director,people,True
Rocky Mountain Academy,Brown Schools/CEDU,David Yeats,Asst. (north),teacher/counselor,people,True
SUWS Idaho,Aspen,Audrey Everson,Asst. (south),program director,people,True
SUWS Idaho,Aspen,Kathy Rex,Asst. (south),executive director,people,True
SUWS Idaho,Aspen,L. Jay Mitchell,Asst. (south),cofounder/owner,corporate,True
SUWS Idaho,Aspen,Graham Shannonhouse,Asst. (south),program director,people,True
SUWS of the Carolinas,Aspen,Bryan Delaney,Asst. (north),program director,people,True
SUWS of the Carolinas,Aspen,Jeff Scott,Asst. (south),therapist,people,True
SUWS of the Carolinas,Aspen,Daniel Fishburn,Asst. (south),CEO/Executive director,people,True
SUWS of the Carolinas,Aspen,Acadia Healthcare,Embark,acquired,corporate,True
SUWS of the Carolinas,Aspen,Leah Madamba,Embark,program director,people,True
SUWS of the Carolinas,Aspen,Erica Thiessen- House,Wilderness,clinical director,people,True
SageWalk Wilderness,Asst. (north),Cindy Fogel,Aspiro,therapist,people,True
SageWalk Wilderness,Asst. (north),Larry Solie,Wilderness,executive director,people,True
SageWalk Wilderness,Asst. (north),Guy LeGuyonne,UHS,admissions director,people,True
SageWalk Wilderness,Asst. (north),J. Huffine,UHS,clinical director,people,True
SageWalk Wilderness,Asst. (north),Michael Bednarz,Asst. (south),executive director,people,True
SageWalk Wilderness,Asst. (north),Brian Rossiter,UHS,program director,people,True
SageWalk Wilderness,Asst. (north),Alexander MacDonald,Brown Schools/CEDU,clinical director,people,True
"Salesi ""Nale"" Misinale Fakahua",Rite of Passage,Ashcreek Ranch Academy,YSI,?,other,True
"Salesi ""Nale"" Misinale Fakahua",Rite of Passage,Cinnamon Hills Youth Crisis Center,Eckerd,?,other,True
San Marcos Treatment Center,Brown Schools/CEDU,Shephali Sharma,Asst. (north),medical director / unit medical director,people,True
Scott Fitzwater,Aspen,SageWalk Wilderness,Asst. (north),therapist,people,True
Scott Spaw,Asst. (south),Lone Star Expeditions,Aspiro,executive director/clinical director,people,True
Second Nature,Aspiro,Jeff Scott,Asst. (south),clinical director,people,True
Second Nature Blue Ridge,Aspiro,Bryan Delaney,Asst. (north),field director,people,True
Second Nature Cascades,Aspiro,Brian Rossiter,UHS,executive director,people,True
Second Nature Cascades,Aspiro,WIllow Huffine,UHS,psychologist,other,True
Second Nature Uintas,Aspiro,Michael Bednarz,Asst. (south),senior field staff,people,True
Second Nature Wilderness Family Therapy,Aspiro,Jen Murphy,FHW,counselor,people,True
Sedona Sky Academy,Altior,Tammy Prince Behrman,Wilderness,cofounder/owner,corporate,True
Sequel Youth and Family Services,Rite of Passage,Alachua Academy,Vivant,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Duval Academy,Vivant,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Adam Shapiro,Vivant,cofounder,people,True
Sequel Youth and Family Services,Rite of Passage,Bernalillo Academy,UHS,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Auldern Academy,UHS,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Jay Ripley,Vivant,founder,people,True
Sequel Youth and Family Services,Rite of Passage,Columbus Youth Academy,Vivant,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Marion Youth Academy,Vivant,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Casa Grande Academy,Vivant,,unlabelled,True
Sequel Youth and Family Services,Rite of Passage,Red Rock Canyon School,Eckerd,,unlabelled,True
Sharon Sperry-Clegg,Asst. (south),Outdoor Behavioral Healthcare Industry Council,Wilderness,member,people,True
Sharon Sperry-Clegg,Asst. (south),Aspiro Wilderness Adventure Therapy,Asst. (north),risk and compliance manager,people,True
Shawn Ziluck,Asst. (north),Cherokee Creek Boys School,Aspiro,primary counselor,people,True
Shawn Ziluck,Asst. (north),Whetstone Academy,Aspen,cofounder/program coordinator,people,True
Shephali Sharma,Asst. (north),Cedar Crest Hospital & RTC,Aspen,,unlabelled,True
Sheri Gallagher,FHW,Shayne Gallagher,Asst. (south),married,people,True
Shortridge Academy,Altior,Jessa Hobson,Eckerd,clinical program director,people,True
Shortridge Academy,Altior,Bruce Wilson,Eckerd,program director,people,True
Shortridge Academy,Altior,Doug Kim Brown,Eckerd,advisor,other,True
Shortridge Academy,Altior,Audrey Everson,Asst. (south),assistant counseling director,people,True
Shortridge Academy,Altior,Mik Oyler,FHW,COO,people,True
Shortridge Academy,Altior,Michael Charnley,Wilderness,residential life director,people,True
Shortridge Academy,Altior,David Freedman,Wilderness,admissions director,people,True
Shortridge Academy,Altior,Coyote Karrick,Asst. (north),assistant program director,people,True
Silverado Boys Ranch,Eckerd,Nick Pakidko,UHS,,unlabelled,True
Solstice East,FHW,Bryan Tomes,Aspen,academic director/operations director,people,True
Solstice RTC,FHW,Rick Jackson,Wilderness,medical director,people,True
Solstice RTC,FHW,Malynda Scott,Wilderness,counselor,people,True
Solstice RTC,FHW,Virginia Scott Prowse,Asst. (north),,unlabelled,True
Southeast Alabama Youth Leadership Academy,UHS,Camp SAYLA,Rite of Passage,,unlabelled,True
Southwood Psychiatric Hospital,Aspen,Acadia Healthcare,Embark,,unlabelled,True
Spring Creek Lodge Academy,WWASPS,Orval Hagerman,Eckerd,?,other,True
Spring Ridge Academy,HOPE Group,Belle Shook,Eckerd,therapist,people,True
Spring Ridge Academy,HOPE Group,Linda Cathcart,Asst. (south),?,other,True
Spring Ridge Academy,HOPE Group,Cindy Fogel,Aspiro,therapist,people,True
Stacey Rosenberg,Eckerd,Leslie Rosenberg,FHW,sisters,people,True
Stacey Rosenberg,Eckerd,Solstice RTC,FHW,program director,people,True
Steve Debois,FHW,Second Nature Wilderness Family Therapy,Aspiro,clinical director,people,True
Steve Houghton,Asst. (north),Mount Bachelor Academy,Aspen,cofounder,people,True
SunHawk Academy,Wilderness,Kreg Gillman,Altior,executive director,people,True
Sunrise RTC,Embark,Boyd Hooper,Altior,founder,people,True
Sunrise RTC,Embark,Kirk Simon,FHW,psychiatrist,people,True
Synanon,Synanon,CEDU Family of Services,Brown Schools/CEDU,,unlabelled,True
Synanon,Synanon,Daytop Village,Brown Schools/CEDU,,unlabelled,True
Synanon,Synanon,Bill Lane,Brown Schools/CEDU,member,people,True
Talisman Camps,Asst. (south),Cat Jennings,Aspen,founding executive director,people,True
Talisman Camps,Asst. (south),Talisman Programs,Aspen,,unlabelled,True
Tammy Prince Behrman,Wilderness,Cross Creek Programs,WWASPS,admissions director,people,True
Teen Challenge,Teen Challenge,Governor George W. Bush of Texas,Synanon,endorsed,people,True
The Brown Schools,Brown Schools/CEDU,Rae Ann Knopf,FHW,executive director CEDU Family of Services,people,True
The Oakley School,Aspen,Coady Schueler,Altior,?,other,True
The Oakley School,Aspen,Mike Bulloch,Altior,clinical director,people,True
The Oakley School,Aspen,James Meyer,Altior,co-founder/executive director,people,True
The Oakley School,Aspen,W. Kimball DeLaMare,Synanon,cofounder,people,True
The Oakley School,Aspen,Jared Balmer,Wilderness,cofounder,people,True
Theresa Wardle,FHW,Outback Therapeutic Expeditions,Aspen,admissions director,people,True
Theresa Wardle,FHW,The Wardle Home,Asst. (north),cofounder,people,True
Thomas Ring,Embark,Stone Mountain School,Aspen,coordinator,people,True
Three Points Center,WWASPS,Katie Soli,Brown Schools/CEDU,clinical director,people,True
Three Rivers Montana,Altior,Kendra Meiklejohn,Aspen,backcountry field guide,people,True
Three Springs Inc.,Rite of Passage,Rosemary Tippett,UHS,,unlabelled,True
Three Springs Inc.,Rite of Passage,Tere Snodgrass,Unframed,admissions/marketing director,people,True
Tom Bratter,WWASPS,Daytop Village,Brown Schools/CEDU,Intern,people,True
Tracy Schrunk,UHS,WinGate Wilderness Therapy,FHW,therapist,people,True
Tracy Schrunk,UHS,Logan River Academy,FHW,primary therapist,people,True
Tracy Schrunk,UHS,Outback Therapeutic Expeditions,Aspen,primary therapist,people,True
Trails Carolina,FHW,Jason McKeown,Asst. (south),clinical director,people,True
Trails Carolina,FHW,John L Singleton,Aspen,director of business development,people,True
Trails Carolina,FHW,Julia Andrick,Asst. (north),,unlabelled,True
Trina Packard,Wilderness,Pine Ridge Academy,FHW,executive director,people,True
True North Wilderness Program,Wilderness,Jessa Hobson,Eckerd,assistant wilderness guide,people,True
TrueCore Behavioral Solutions,Vivant,Tampa Residential Facility,YSI,,unlabelled,True
TrueCore Behavioral Solutions,Vivant,South Florida Youth Academy,YSI,,unlabelled,True
TrueCore Behavioral Solutions,Vivant,Hillsborough Girls Academy,YSI,,unlabelled,True
Turn-About Ranch,Wilderness,Wayne Stinson,Altior,program supervisor,people,True
Turn-About Ranch,Wilderness,Teresa Shinedling,FHW,,unlabelled,True
Turn-About Ranch,Wilderness,Melodie Rose,Asst. (south),program director,people,True
Turn-About Ranch,Wilderness,"Phillip ""Dr Phil"" McGraw",Evolve,referrals,people,True
UHS of Kootenai River,UHS,Tai Komanec,Brown Schools/CEDU,CEO,people,True
Uinta Academy,Eckerd,Hollie Archibald,FHW,therapist,people,True
Universal Health Services,UHS,Kreg Gillman,Altior,CEO,people,True
Universal Health Services,UHS,Cottonwood Treatment Center,Asst. (north),,unlabelled,True
Universal Health Services,UHS,Boulder Creek Academy,Brown Schools/CEDU,,unlabelled,True
Universal Health Services,UHS,Boulder Creek Academy,Brown Schools/CEDU,acquired,corporate,True
Universal Health Services,UHS,Northwest Academy,Brown Schools/CEDU,acquired,corporate,True
Vantage Point,Aspiro,Jodi Escalante,Asst. (north),field director,people,True
Vermont State Board of Education,Wilderness,Rae Ann Knopf,FHW,deputy commissioner of education,people,True
Viewpoint Center,Wilderness,Brandon Park,Eckerd,?,other,True
Vista Magna RTC,HOPE Group,Tracy Schrunk,UHS,therapist,people,True
Vivant Behavioral Healthcare,Vivant,Brighter Path Courtland,Rite of Passage,,unlabelled,True
W. Kimball DeLaMare,Synanon,NATSAP,FHW,first presitdent,other,True
W. Kimball DeLaMare,Synanon,Island View RTC,Wilderness,cofounder,people,True
WIllow Huffine,UHS,Bridges Boys Academy,Wilderness,clinical director,people,True
WIllow Huffine,UHS,SageWalk Wilderness,Asst. (north),nurse,people,True
WayPoint Academy,Wilderness,Mike Bulloch,Altior,cofounder/ / clinical director,people,True
WayPoint Academy,Wilderness,Kreg Gillman,Altior,executive director,people,True
Wayne Halfway House,YSI,Alachua Academy,Vivant,owner,corporate,True
Wayne Halfway House,YSI,Duval Academy,Vivant,owner,corporate,True
Wimauma Academy,Brown Schools/CEDU,Wayne Halfway House,YSI,owner,corporate,True
WinGate Wilderness Therapy,FHW,Shayne Gallagher,Asst. (south),cofounder/executive director,people,True
WinGate Wilderness Therapy,FHW,Sharon Sperry-Clegg,Asst. (south),program director,people,True
WinGate Wilderness Therapy,FHW,Brad Matheson,Asst. (south),admissions director,people,True
WinGate Wilderness Therapy,FHW,John Cohen,Asst. (north),therapist,people,True
WinGate Wilderness Therapy,FHW,Blaine Fisher,Asst. (north),program director,people,True
WinGate Wilderness Therapy,FHW,Chris Tarver,Asst. (north),execuitve director,people,True
WinGate Wilderness Therapy,FHW,"Phillip ""Dr Phil"" McGraw",Evolve,referrals,people,True
WinGate Wilderness Therapy,FHW,Craig Rogers,Eckerd,executive marketing director,people,True
Youth Care of Utah,Wilderness,Steve Debois,FHW,?,other,True
Youth Services International,YSI,Adam Shapiro,Vivant,senior vice president,people,True
"""Brother Bryan"" Clemensen",Roloff,"""Brother Jim"" Clemenson",Roloff,father,people,False
"""Brother Bryan"" Clemensen",Roloff,Agape Boys Ranch,Roloff,cofounder,people,False
"""Brother Jim"" Clemenson",Roloff,"Kathy ""Ma'am"" Clemenson",Roloff,married,people,False
