state,unique_name,facility_name
KENTUCKY,Florence Crittenton Home,Florence Crittenton Home
ARKANSAS,Garland County Juvenile Detention,Garland County Juvenile Detention
ARKANSAS,Glenhaven Youth Ranch,Glenhaven Youth Ranch
ARKANSAS,Hillcrest Children’s Home,Hillcrest Children’s Home
ARKANSAS,Jack Jones Juvenile Detention Center,Jack Jones Juvenile Detention Center
ARKANSAS,Lantz Lurry Juvenile Detention Center,Lantz Lurry Juvenile Detention Center
ARKANSAS,Lewisville Juvenile Treatment Center,Lewisville Juvenile Treatment Center
ARKANSAS,Pinnacle Pointe Sub-Acute Inpatient Treatment,Pinnacle Pointe Sub-Acute Inpatient Treatment
ARKANSAS,Pulaski County Juvenile Detention,Pulaski County Juvenile Detention
ARKANSAS,Rivendell of Arkansas,Rivendell of Arkansas
ARKANSAS,"Searcy Children’s Home, Inc.","Searcy Children’s Home, Inc."
ARKANSAS,Sebastian County Juvenile Detention Center,Sebastian County Juvenile Detention Center
ARKANSAS,Southeast Arkansas Residential Treatment Facility,Southeast Arkansas Residential Treatment Facility
ARKANSAS,The Lord’s Ranch,The Lord’s Ranch
ARKANSAS,Vantage Point Behavioral Health RTP,Vantage Point Behavioral Health RTP
ARKANSAS,Washington County Juvenile Detention Center,Washington County Juvenile Detention Center
ARKANSAS,White River Juvenile Detention Center,White River Juvenile Detention Center
ARKANSAS,Yell County Juvenile Detention Center,Yell County Juvenile Detention Center
CALIFORNIA,"2nd Home, Inc - San Jose","2nd Home, Inc - San Jose"
CALIFORNIA,"2nd Home, Inc - Tenaya House","2nd Home, Inc - Tenaya House"
CALIFORNIA,Aaron's Boys Home,Aaron's Boys Home
CALIFORNIA,About Face Cadet Corps,About Face Cadet Corps
CALIFORNIA,Achieve Residential Center,Achieve Residential Center
CALIFORNIA,Adeona Healthcare,Adeona Healthcare
CALIFORNIA,Adolescent Growth,Adolescent Growth
CALIFORNIA,Advent Group Ministries - Summit Ranch,Advent Group Ministries - Summit Ranch
CALIFORNIA,Agape Homes Orcutt,Agape Homes Orcutt
CALIFORNIA,Agoura Hills RTC,Agoura Hills RTC
CALIFORNIA,Alan M. Crogan Youth Treatment/Educational Center,Alan M. Crogan Youth Treatment/Educational Center
CALIFORNIA,Alana's House,Alana's House
CALIFORNIA,Alpha Connection Youth & Family Services,Alpha Connection Youth & Family Services
CALIFORNIA,Alameda County Juvenile Justice Facility,Alameda County Juvenile Justice Facility
CALIFORNIA,Amali,Amali
CALIFORNIA,Angel Gate Academy,Angel Gate Academy
CALIFORNIA,Arden Oaks RTC,Arden Oaks RTC
CALIFORNIA,"Argent Ventures, Inc.","Argent Ventures, Inc."
CALIFORNIA,Arise for Girls Los Angeles,Arise for Girls Los Angeles
CALIFORNIA,Ascend – Canyons,Ascend – Canyons
CALIFORNIA,Ascend – Empress House,Ascend – Empress House
CALIFORNIA,Ascend – Haven House,Ascend – Haven House
CALIFORNIA,Ascend – Kallos House,Ascend – Kallos House
CALIFORNIA,Ascend – Magnolia House,Ascend – Magnolia House
CALIFORNIA,Ascend – Oaks House,Ascend – Oaks House
CALIFORNIA,Ashlan House,Ashlan House
CALIFORNIA,Atkinson Family Services,Atkinson Family Services
CALIFORNIA,Aura RTC,Aura RTC
CALIFORNIA,Barry J. Nidorf Juvenile Hall SYTF,Barry J. Nidorf Juvenile Hall SYTF
CALIFORNIA,Barstow House,Barstow House
CALIFORNIA,Bauer Residential Santa Maria 3 Group Home,Bauer Residential Santa Maria 3 Group Home
CALIFORNIA,Bayfront Youth and Family Services - Residential Treatment Program,Bayfront Youth and Family Services - Residential Treatment Program
CALIFORNIA,Bea's Youth Treatment Home for Girls,Bea's Youth Treatment Home for Girls
CALIFORNIA,Beachside Teen Treatment,Beachside Teen Treatment
CALIFORNIA,Bear Creek Academy Youth Camp,Bear Creek Academy Youth Camp
CALIFORNIA,Bella Vista @ Taylor,Bella Vista @ Taylor
CALIFORNIA,Bella Vista @ Wyoming,Bella Vista @ Wyoming
CALIFORNIA,Bell Academy,Bell Academy
CALIFORNIA,Berhe Group Home Inc.,Berhe Group Home Inc.
CALIFORNIA,Berkeley Cottage,Berkeley Cottage
CALIFORNIA,Berkeley Lodge,Berkeley Lodge
CALIFORNIA,Betty's House of Care,Betty's House of Care
CALIFORNIA,Blissful Living Group Home,Blissful Living Group Home
CALIFORNIA,Blue Mountain Wilderness Program,Blue Mountain Wilderness Program
CALIFORNIA,Blume Behavioral Health RTC,Blume Behavioral Health RTC
CALIFORNIA,BNI Teen Treatment Centers - Agoura,BNI Teen Treatment Centers - Agoura
CALIFORNIA,BNI Teen Treatment Centers - Calabasas,BNI Teen Treatment Centers - Calabasas
CALIFORNIA,Born for Nia Maternity Home,Born for Nia Maternity Home
CALIFORNIA,Bourne Family Services,Bourne Family Services
