state,unique_name,facility_count,note
CALIFORNIA,"8983 Coan Ln, Orangevale, CA 95662;",6,multi-facility CALIFORNIA project (6 facilities) — kept for review
CALIFORNIA,"Palm Desert, CA;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"1564 W 36th Pl, Los Angeles, CA 90018;",2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,"1632 E Dimondale Dr, Carson, CA 90746;",6,multi-facility CALIFORNIA project (6 facilities) — kept for review
CALIFORNIA,"795 Eden Plains Rd, Brentwood, CA 94513;",12,multi-facility CALIFORNIA project (12 facilities) — kept for review
CALIFORNIA,"215 W La Verne Ave, Pomona, CA 91767;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"Davis, CA;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"2390 Portola St, San Bernardino, CA 92407",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"7760 Joyce Dr, Sebastopol, CA 95472;",3,multi-facility CALIFORNIA project (3 facilities) — kept for review
CALIFORNIA,"25123 Middlebrook Way, Moreno Valley, CA 92551;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"30 Country Wood Dr, Phillips Ranch, CA 91766;",5,multi-facility CALIFORNIA project (5 facilities) — kept for review
CALIFORNIA,"238 S Flower St, Orange, CA 92868;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"2464 Slew of Gold Ct, Perris, CA 92571;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"San Francisco, CA;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"18646 W Oxnard St, Tarzana, CA 91356;",1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,"3817 Edith Ln, Bakersfield, CA 93304;",2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,"7250 Wiest Rd, Calipatria, CA 92233;",3,multi-facility CALIFORNIA project (3 facilities) — kept for review
CALIFORNIA,"33335 Mulholland Hwy, Malibu, CA 90265;",2,multi-facility CALIFORNIA project (2 facilities) — kept for review
