state,unique_name,facility_count,sample_facility_names
NEVADA,Westcare Inc – Harris Springs Ranch,1,Westcare Inc – Harris Springs Ranch
NEW HAMPSHIRE,Nashua Children’s Home Adolescent Boys Residence,2,Nashua Children’s Home Adolescent Boys Residence | Nashua Children’s Home Adolescent Boys Residence
NEW HAMPSHIRE,Nashua Children’s Home The Carriage House,2,Nashua Children’s Home The Carriage House | Nashua Children’s Home The Carriage House
NEW JERSEY,KIDS of Bergen County,2,KIDS of Bergen County | KIDS of Bergen County
NEW YORK,HeartShare St. Vincent’s Community Residences,3,HeartShare St. Vincent’s Community Residences | HeartShare St. Vincent’s Community Residences | HeartShare St. Vincent’s Community Residences
NORTH CAROLINA,Mt. Gilead Children’s Home,1,Mt. Gilead Children’s Home
NORTH CAROLINA,New Horizon Group Home,2,New Horizon Group Home | New Horizon Group Home
NORTH DAKOTA,Dakota Boys and Girls Ranch,3,Dakota Boys and Girls Ranch | Dakota Boys and Girls Ranch | Dakota Boys and Girls Ranch
OHIO,Adriel School,2,Adriel School | Adriel School
OHIO,The Village Network,4,The Village Network | The Village Network | The Village Network
OKLAHOMA,Baptist Children’s Home Owasso,1,Baptist Children’s Home Owasso
OKLAHOMA,Children’s Recovery Center of Oklahoma,1,Children’s Recovery Center of Oklahoma
OKLAHOMA,Conversion – Kiamichi Youth Services,1,Conversion – Kiamichi Youth Services
OKLAHOMA,G – Kidz Kiamichi Youth Services,1,G – Kidz Kiamichi Youth Services
OKLAHOMA,Integris Mental Health – Spencer,1,Integris Mental Health – Spencer
OKLAHOMA,Laura Dester Children’s Center,1,Laura Dester Children’s Center
OKLAHOMA,Lawton Boy’s Group Home,1,Lawton Boy’s Group Home
OKLAHOMA,Sequoyah – Bartlesville,1,Sequoyah – Bartlesville
OKLAHOMA,Spencer House Boys’ Group Home,1,Spencer House Boys’ Group Home
OREGON,Academy at Sisters,2,Academy at Sisters | Academy at Sisters
OREGON,New Leaf Academy of Oregon,4,New Leaf Academy of Oregon | New Leaf Academy of Oregon | New Leaf Academy of Oregon
SOUTH DAKOTA,Our Home Inc.,2,Our Home Inc. | Our Home Inc.
TENNESSEE,Grace Oasis,2,Grace Oasis | Grace Oasis
TENNESSEE,Memphis Recovery Centers,2,Memphis Recovery Centers | Memphis Recovery Centers
TENNESSEE,Youth Villages - Bartlett Cottages,4,Youth Villages - Bartlett Cottages | Youth Villages - Bartlett Cottages | Youth Villages - Bartlett Cottages
TEXAS,Autistic Treatment Center,2,Autistic Treatment Center | Autistic Treatment Center
TEXAS,BCFS Health and Human Services – Basic Care,1,BCFS Health and Human Services – Basic Care
TEXAS,Ben Richey’s Boys Ranch,1,Ben Richey’s Boys Ranch
TEXAS,Burke Center for Youth - Pathfinder’s Ranch,1,Burke Center for Youth - Pathfinder’s Ranch
TEXAS,Central Texas Children’s Home,1,Central Texas Children’s Home
TEXAS,Children’s Hope Residential Services Inc – Lubbock,1,Children’s Hope Residential Services Inc – Lubbock
TEXAS,Children’s Hope Residential Services Inc – Washington,1,Children’s Hope Residential Services Inc – Washington
TEXAS,Children’s Hope Residential Services Inc – West,1,Children’s Hope Residential Services Inc – West
TEXAS,"Children’s Village and Family Service Agency, Inc.",1,"Children’s Village and Family Service Agency, Inc."
TEXAS,Christ’s Haven for Children,1,Christ’s Haven for Children
TEXAS,DePelchin Children’s Center-Richmond Campus,1,DePelchin Children’s Center-Richmond Campus
TEXAS,Discovery Practice Management,3,Discovery Practice Management | Discovery Practice Management | Discovery Practice Management
TEXAS,Hands of Healing RTC,2,Hands of Healing RTC | Hands of Healing RTC
TEXAS,Journey To Dream – Kyle’s Place,1,Journey To Dream – Kyle’s Place
TEXAS,Kirby’s Place,1,Kirby’s Place
TEXAS,Krause Children’s Center RTC,1,Krause Children’s Center RTC
TEXAS,L’Amor Village RTC,1,L’Amor Village RTC
TEXAS,Lee and Beulah Moor Children’s Home,1,Lee and Beulah Moor Children’s Home
TEXAS,Life’s Purpose Residential Treatment Center,1,Life’s Purpose Residential Treatment Center
TEXAS,Methodist Children’s Home BCC,1,Methodist Children’s Home BCC
TEXAS,"Minola’s Place of Texas, Inc.",1,"Minola’s Place of Texas, Inc."
TEXAS,Miracal’s Place,1,Miracal’s Place
TEXAS,Pleasant Hills Children’s Home,1,Pleasant Hills Children’s Home
TEXAS,Presbyterian Children’s Home,2,Presbyterian Children’s Home | Presbyterian Children’s Home
TEXAS,Rob & Simon’s Hawthorne House,1,Rob & Simon’s Hawthorne House
TEXAS,Roy Maas Youth Alternative – Girlsville/Junction,1,Roy Maas Youth Alternative – Girlsville/Junction
TEXAS,South Texas Adolescent Rehabilitation & Education – STARE,1,South Texas Adolescent Rehabilitation & Education – STARE
TEXAS,South Texas Children’s Home,1,South Texas Children’s Home
TEXAS,St. Michael’s Home for Children,1,St. Michael’s Home for Children
TEXAS,St. Michael’s Home for Children II,1,St. Michael’s Home for Children II
TEXAS,Straight – Dallas,2,Straight – Dallas | Straight – Dallas
TEXAS,The Children’s Home,1,The Children’s Home
TEXAS,Thompson’s Residential Treatment Center- Farmersville,1,Thompson’s Residential Treatment Center- Farmersville
TEXAS,Today’s Harbor for Children,1,Today’s Harbor for Children
TEXAS,Turning Point Children’s Social Service,1,Turning Point Children’s Social Service
TEXAS,Unity Children’s Home RTC,3,Unity Children’s Home RTC | Unity Children’s Home RTC | Unity Children’s Home RTC
UTAH,Alpine Academy,2,Alpine Academy | Alpine Academy
UTAH,Apex Youth Services,3,Apex Youth Services | Apex Youth Services | Apex Youth Services
UTAH,Ashcreek Ranch Academy,2,Ashcreek Ranch Academy | Ashcreek Ranch Academy
UTAH,Aspiro Wilderness Adventure Therapy,2,Aspiro Wilderness Adventure Therapy | Aspiro Wilderness Adventure Therapy
UTAH,"Blue Hills Residential Treatment, LLC",2,"Blue Hills Residential Treatment, LLC | Blue Hills Residential Treatment, LLC"
UTAH,Cross Creek Programs,2,Cross Creek Programs | Cross Creek Programs
