unique_name,facility_name,reason
Leadership Empowerment and Discipline Boot Camp,Leadership Empowerment and Discipline Boot Camp,single-facility CA project; name already in CALIFORNIA
LGTC - Cambrian Park,LGTC - Cambrian Park,single-facility CA project; name already in CALIFORNIA
LGTC - Willow Glen Residential,LGTC - Willow Glen Residential,single-facility CA project; name already in CALIFORNIA
Lift Your Head Up STRTP,Lift Your Head Up STRTP,single-facility CA project; name already in CALIFORNIA
Lightfully Encinitas Teen RTC,Lightfully Encinitas Teen RTC,single-facility CA project; name already in CALIFORNIA
Lighthouse Mentoring Center,Lighthouse Mentoring Center,single-facility CA project; name already in CALIFORNIA
Los Padrinos Juvenile Hall SYTF,Los Padrinos Juvenile Hall SYTF,single-facility CA project; name already in CALIFORNIA
Los Prietos Boys Camp,Los Prietos Boys Camp,single-facility CA project; name already in CALIFORNIA
Madera Correctional Academy,Madera Correctional Academy,single-facility CA project; name already in CALIFORNIA
"Manuc,h Inc. - Aspen House","Manuc,h Inc. - Aspen House",single-facility CA project; name already in CALIFORNIA
"Manuch, Inc. - Inspiration Peak","Manuch, Inc. - Inspiration Peak",single-facility CA project; name already in CALIFORNIA
"Manuch, Inc. - Riverpine","Manuch, Inc. - Riverpine",single-facility CA project; name already in CALIFORNIA
Marin County Juvenile Hall,Marin County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Mariposa Special Purpose Juvenile Hall,Mariposa Special Purpose Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Mary's Shelter STRTP,Mary's Shelter STRTP,single-facility CA project; name already in CALIFORNIA
Maxine Singer Youth Guidance Center,Maxine Singer Youth Guidance Center,single-facility CA project; name already in CALIFORNIA
Maywright Boys Home,Maywright Boys Home,single-facility CA project; name already in CALIFORNIA
McAlister Institute Group Home East,McAlister Institute Group Home East,single-facility CA project; name already in CALIFORNIA
McAlister Institute Group Home South,McAlister Institute Group Home South,single-facility CA project; name already in CALIFORNIA
"McKinley Children's Center, Inc. STRTP","McKinley Children's Center, Inc. STRTP",single-facility CA project; name already in CALIFORNIA
Mended Fences,Mended Fences,single-facility CA project; name already in CALIFORNIA
Mendocino County Juvenile Hall,Mendocino County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Merced Ranch,Merced Ranch,single-facility CA project; name already in CALIFORNIA
Michael's Youth Treatment Home for Boys,Michael's Youth Treatment Home for Boys,single-facility CA project; name already in CALIFORNIA
Michigan House,Michigan House,single-facility CA project; name already in CALIFORNIA
Mid-Valley Youth Center,Mid-Valley Youth Center,single-facility CA project; name already in CALIFORNIA
Milestone House,Milestone House,single-facility CA project; name already in CALIFORNIA
Millie's Youth Services,Millie's Youth Services,single-facility CA project; name already in CALIFORNIA
Mindful Growth Foundation,Mindful Growth Foundation,single-facility CA project; name already in CALIFORNIA
Ministerial Christian Academy,Ministerial Christian Academy,single-facility CA project; name already in CALIFORNIA
Mission Prep Adolescent RTC,Mission Prep Adolescent RTC,single-facility CA project; name already in CALIFORNIA
Mollie's House,Mollie's House,single-facility CA project; name already in CALIFORNIA
Monterey County Youth Center,Monterey County Youth Center,single-facility CA project; name already in CALIFORNIA
Mount Helix RTC,Mount Helix RTC,single-facility CA project; name already in CALIFORNIA
Mountain House Academy,Mountain House Academy,single-facility CA project; name already in CALIFORNIA
Mountain Valley Child and Family - Bar Du,Mountain Valley Child and Family - Bar Du,single-facility CA project; name already in CALIFORNIA
Mountain Valley Child and Family - Bradshaw,Mountain Valley Child and Family - Bradshaw,single-facility CA project; name already in CALIFORNIA
Mountain Valley Child and Family - Gerber,Mountain Valley Child and Family - Gerber,single-facility CA project; name already in CALIFORNIA
Mountain Valley Child and Family - Nevada City Ranch,Mountain Valley Child and Family - Nevada City Ranch,single-facility CA project; name already in CALIFORNIA
Mt. Lassen Treatment Center,Mt. Lassen Treatment Center,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Auberry Road,Muir Wood Teen Treatment Centers - Auberry Road,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Auberry South,Muir Wood Teen Treatment Centers - Auberry South,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Auberry West,Muir Wood Teen Treatment Centers - Auberry West,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Da Vinci,Muir Wood Teen Treatment Centers - Da Vinci,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Edgewild,Muir Wood Teen Treatment Centers - Edgewild,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Hannan Ranch,Muir Wood Teen Treatment Centers - Hannan Ranch,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Haverfield,Muir Wood Teen Treatment Centers - Haverfield,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - I Street,Muir Wood Teen Treatment Centers - I Street,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Lohrman North & South Campuses,Muir Wood Teen Treatment Centers - Lohrman North & South Campuses,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Magnolia Campus,Muir Wood Teen Treatment Centers - Magnolia Campus,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Makena House Campus,Muir Wood Teen Treatment Centers - Makena House Campus,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Penngrove North & South Campuses,Muir Wood Teen Treatment Centers - Penngrove North & South Campuses,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Rebecca Campus,Muir Wood Teen Treatment Centers - Rebecca Campus,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Skillman East,Muir Wood Teen Treatment Centers - Skillman East,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Skillman North,Muir Wood Teen Treatment Centers - Skillman North,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Skillman South,Muir Wood Teen Treatment Centers - Skillman South,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Sonoma Mountain,Muir Wood Teen Treatment Centers - Sonoma Mountain,single-facility CA project; name already in CALIFORNIA
Muir Wood Teen Treatment Centers - Thompson Ranch,Muir Wood Teen Treatment Centers - Thompson Ranch,single-facility CA project; name already in CALIFORNIA
Napa County Juvenile Hall,Napa County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
NAWA Academy,NAWA Academy,single-facility CA project; name already in CALIFORNIA
"New Alternatives, Inc. - San Pasqual Academy","New Alternatives, Inc. - San Pasqual Academy",single-facility CA project; name already in CALIFORNIA
